注：除强化后增加的属性，属性表中的“+”代表属性的最值即浮动区间；若为单独数字则表示基础属性固定
装备名,职业,品质,生命,魔法,攻击,防御,暴击,闪避,回血,回蓝,吸血,魔抗,命中,泣血,强化后增加属性,描述
祁水,悟空,传说,0.0,0.0,510.0,0.0,0.09,0.0,0.0,50.0,0.0,0.0,0.0,2.0,攻击+55 暴击+0.0172 回蓝+1.3,无支祁现于淮水，骇风奇袭，惊浪翻涌。大禹治水时，锁其四肢，压其龟山脚
斗战,悟空,传说,4200.0,1100.0,25.0,1135.0,0.05,0.0,30.0,0.0,0.0,0.15,0.0,0.0,血量+450 蓝量+265 防御+51 回血+5,战无不胜
若禅,唐僧,传说,0.0,1500.0,565.0,0.0,0.09,0.0,0.0,52.0,0.0,0.0,0.0,7.0,蓝量+250 攻击+60 暴击+0.01 回蓝+4,"达摩驾一叶扁舟，东来传佛法。受嫉妒，七遭毒，手携只履,翩独逝"
旃檀,唐僧,传说,1500.0,2700.0,90.0,785.0,0.0,0.0,0.0,10.0,0.0,0.12,0.0,0.0,血量+220 蓝量+310 防御+42 回蓝+5,檀香不绝
夷图,八戒,传说,2000.0,0.0,630.0,0.0,0.09,0.0,42.0,45.0,0.0,0.06,0.0,7.0,血量+320 攻击+75 暴击+0.0072 回血+10 回蓝+1,"河伯循琴音而去,见宓妃厌九隆，发大水抢妻,百年守护，只为美人笑，终而生情"
净坛,八戒,传说,5800.0,800.0,100.0,1410.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,血量+600 防御+54 魔抗+0.0142,凡尘不净
琉璃,沙僧,传说,0.0,0.0,420.0,0.0,0.09,0.0,0.0,51.0,0.0,0.0,0.0,7.0,攻击+48 暴击+0.0142 回蓝+1.72,琉璃光可照三界之暗
金身,沙僧,传说,2800.0,1450.0,0.0,950.0,0.0,0.09,0.0,0.0,0.0,0.15,0.0,0.0,血量+290 蓝量+265 防御+49.5 闪避+0.0142,金身不灭
广力,白龙,传说,0.0,0.0,510.0,0.0,0.09,0.0,0.0,50.0,0.0,0.0,0.0,2.0,攻击+48 暴击+0.0172 回蓝+1.3,广力在世
天龙,白龙,传说,4200.0,1100.0,25.0,1135.0,0.05,0.0,30.0,0.0,0.0,0.15,0.0,0.0,血量+450 蓝量+265 防御+51 回血+5,飞龙在天
诛邪弑天棍,悟空,神器,0.0,0.0,980.0,0.0,0.16,0.0,0.0,54.0,0.0,0.0,0.06,15.0,攻击+90 暴击+0.02 回蓝+9 泣血+3,对酒不觉瞑，落花盈我衣
诛邪弑天甲,悟空,神器,6000.0,1800.0,100.0,1700.0,0.0,0.03,18.0,42.0,0.0,0.18,0.0,0.0,血量+550 蓝量+345 防御+75 攻击+35 回血+4 回蓝+7,船下广陵去，月明征虏亭
诛邪破天杖,唐僧,神器,0.0,1600.0,1200.0,0.0,0.1,0.0,0.0,90.0,0.0,0.0,0.06,15.0,蓝量+260 攻击+105 暴击+0.0171 回蓝+16 泣血+3,白马绕旌旗，悲鸣相追攀
诛邪破天衣,唐僧,神器,3000.0,3600.0,100.0,1000.0,0.0,0.0,0.0,72.0,0.0,0.18,0.0,0.0,血量+290 蓝量+400 防御+70 回蓝+13,本为休明人，斩虏素不闲
诛邪震天耙,八戒,神器,2400.0,0.0,1300.0,0.0,0.12,0.0,42.0,40.0,0.0,0.06,0.06,15.0,血量+360 攻击+110 暴击+0.0143 回血+5 回蓝+6  泣血+3,今日云景好，水绿秋山明
诛邪震天铠,八戒,神器,8000.0,1200.0,100.0,2000.0,0.0,0.0,54.0,36.0,0.0,0.22,0.0,0.0,血量+600 魔法+200 防御+80 魔抗+0.0142,地远松石古，风扬弦管清
神摩多苍穹弓,沙僧,神器,0.0,0.0,800.0,0.0,0.13,0.0,0.0,57.0,0.0,0.0,0.06,15.0,攻击+85 暴击+0.0171 回蓝+9 泣血+3,四角碍白日，七层摩苍穹
诛邪擎天铲,沙僧,神器,0.0,0.0,800.0,0.0,0.13,0.0,0.0,57.0,0.0,0.0,0.06,15.0,攻击+85 暴击+0.0171 回蓝+9 泣血+3,胡风吹代马，北拥鲁阳关
诛邪擎天衫,沙僧,神器,3600.0,1600.0,100.0,1300.0,0.0,0.15,36.0,42.0,0.0,0.18,0.0,0.0,血量+380 蓝量+320 防御+70 闪避+0.0142 回蓝+7,半渡上辽津，黄云惨无颜
诛邪斩天剑,白龙,神器,0.0,0.0,980.0,0.0,0.16,0.0,0.0,54.0,0.0,0.0,0.06,15.0,攻击+90 暴击+0.02 泣血+3,精感石没羽，岂云惮险艰
诛邪托天袍,白龙,神器,6000.0,1800.0,100.0,1700.0,0.0,0.03,18.0,42.0,0.0,0.18,0.0,0.0,血量+550 蓝量+345 防御+75 攻击+35 回蓝+5,白马金羁辽海东，罗帷绣被卧春风
镇魂花坠,饰品,邪灵,2000.0,1000.0,10.0,200.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,12.0,血量+200 蓝量+100 攻击+35 魔抗+0.0142 暴击+0.0142,催眠飞行怪物，即便死亡不会苏醒。可以合成传说饰品
破幻花链,饰品,邪灵,1000.0,2000.0,10.0,150.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,血量+100 蓝量+200 攻击+35 回蓝+2 暴击+0.0172,被眩晕、催眠后，立刻解除此状态。可以合成传说饰品
不朽花翼,饰品,邪灵,1800.0,900.0,150.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,攻击+30 防御+20 暴击+0.0172 闪避+0.0142,不受攻击时，将拥有强大的回血能力。可以合成传说饰品
花宴,饰品,传说,合成后数值与地藏戒、地藏金戒同理——饰品本身不可强化（花宴可继承三小件中的泣血属性）,,,,,,,,,,,,,三仙降临，花遍人间，蕴藏无穷神力——附带吸血效果
命定·花宴,饰品,神器,？？？,,,,,,,,,,,,,？？？
